상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,대지구분명,지번본번지,지번주소,도로명,건물본번지,도로명주소,경도,위도
이새,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
손양미영어교습소,학문/교육,학원-어학,학원-외국어/어학,부산광역시,해운대구,좌1동,좌동,대지,1461,부산광역시 해운대구 좌동 1461-4,부산광역시 해운대구 양운로,98,부산광역시 해운대구 양운로 98,129.174858662166,35.1716557520191
썬더치킨신주례점,음식,닭/오리요리,후라이드/양념치킨,부산광역시,사상구,주례1동,주례동,대지,965,부산광역시 사상구 주례동 965-8,부산광역시 사상구 백양대로,498,부산광역시 사상구 백양대로 498,128.997860466307,35.154133540178
나나미용실,생활서비스,이/미용/건강,여성미용실,부산광역시,해운대구,좌4동,좌동,대지,1414,부산광역시 해운대구 좌동 1414,부산광역시 해운대구 좌동순환로217번길,19,부산광역시 해운대구 좌동순환로217번길 19,129.179448987872,35.1786148432501
신화수산,소매,음/식료품소매,수산물소매,부산광역시,사하구,신평1동,신평동,대지,554,부산광역시 사하구 신평동 554,부산광역시 사하구 다대로170번길,10,부산광역시 사하구 다대로170번길 10,128.976585440164,35.0875578165587
청해도,음식,한식,한식/백반/한정식,부산광역시,해운대구,좌1동,좌동,대지,425,부산광역시 해운대구 좌동 425-12,부산광역시 해운대구 대천로,134,부산광역시 해운대구 대천로 134,129.176627801212,35.1740632861893
한바다노래연습장,관광/여가/오락,무도/유흥/가무,노래방,부산광역시,사하구,다대1동,다대동,대지,461,부산광역시 사하구 다대동 461-5,부산광역시 사하구 다대로,665,부산광역시 사하구 다대로 665,128.968433715696,35.0473390023735
충남,음식,일식/수산물,횟집,부산광역시,사하구,다대1동,다대동,대지,680,부산광역시 사하구 다대동 680-2,부산광역시 사하구 다대동로,20,부산광역시 사하구 다대동로 20,128.97200107451,35.0551618076156
학장식육,소매,가정/주방/인테리어,지물판매,부산광역시,사상구,학장동,학장동,대지,565,부산광역시 사상구 학장동 565-1,부산광역시 사상구 학감대로,111,부산광역시 사상구 학감대로 111,128.98768015672,35.1409122838906
해운대타이어,소매,자동차/자동차용품,타이어판매,부산광역시,해운대구,재송1동,재송동,대지,1092,부산광역시 해운대구 재송동 1092-21,부산광역시 해운대구 해운대로143번길,39,부산광역시 해운대구 해운대로143번길 39,129.123239397165,35.1850261772979
경일유리제경,소매,페인트/유리제품소매,유리/거울판매,부산광역시,부산진구,가야1동,가야동,대지,60,부산광역시 부산진구 가야동 60-24,부산광역시 부산진구 가야대로557번길,34,부산광역시 부산진구 가야대로557번길 34,129.032562703039,35.1557176690185
주공세탁마트,생활서비스,세탁/가사서비스,세탁소/빨래방,부산광역시,부산진구,당감4동,당감동,대지,797,부산광역시 부산진구 당감동 797,부산광역시 부산진구 당감서로,169,부산광역시 부산진구 당감서로 169,129.029256590132,35.1712047131493
멕시칸통닭,음식,닭/오리요리,후라이드/양념치킨,부산광역시,부산진구,연지동,연지동,대지,199,부산광역시 부산진구 연지동 199-7,부산광역시 부산진구 연지로,24,부산광역시 부산진구 연지로 24-1,129.052410770641,35.1713843465759
백번집,음식,한식,한식/백반/한정식,부산광역시,해운대구,중1동,중동,대지,1372,부산광역시 해운대구 중동 1372-12,부산광역시 해운대구 중동2로,8,부산광역시 해운대구 중동2로 8,129.164885518657,35.1628013705751
카페토드,음식,커피점/카페,커피전문점/카페/다방,부산광역시,사하구,신평1동,신평동,대지,84,부산광역시 사하구 신평동 84-99,부산광역시 사하구 신산로,191,부산광역시 사하구 신산로 191,128.976338694656,35.0898583994154
고래사냥,음식,한식,한식/백반/한정식,부산광역시,부산진구,부전1동,부전동,대지,475,부산광역시 부산진구 부전동 475-2,부산광역시 부산진구 서면문화로,9,부산광역시 부산진구 서면문화로 9,129.057501969706,35.1584771519677
하이큐슈타이너영재교육학원,학문/교육,학원기타,학원(종합),부산광역시,해운대구,좌4동,좌동,대지,1407,부산광역시 해운대구 좌동 1407-5,부산광역시 해운대구 좌동순환로,181,부산광역시 해운대구 좌동순환로 181,129.176047637578,35.1779899124161
밭,음식,커피점/카페,커피전문점/카페/다방,부산광역시,부산진구,전포1동,전포동,대지,674,부산광역시 부산진구 전포동 674-15,부산광역시 부산진구 서전로46번길,8,부산광역시 부산진구 서전로46번길 8,129.064742363981,35.1573500941488
미림헤어,생활서비스,이/미용/건강,여성미용실,부산광역시,해운대구,중1동,중동,대지,758,부산광역시 해운대구 중동 758-3,부산광역시 해운대구 좌동순환로468번다길,42,부산광역시 해운대구 좌동순환로468번다길 42,129.173188374709,35.1646592133175
사뿐,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
후차이,음식,중식,중국음식/중국집,부산광역시,사상구,감전동,감전동,대지,503,부산광역시 사상구 감전동 503-5,부산광역시 사상구 낙동대로,911,부산광역시 사상구 낙동대로 911,128.969621642599,35.1421848778854
하단쉐보레자동차판매,소매,자동차/자동차용품,자동차판매,부산광역시,사하구,하단2동,하단동,대지,511,부산광역시 사하구 하단동 511-3,부산광역시 사하구 낙동대로,495,부산광역시 사하구 낙동대로 495,128.966645516405,35.1085681938911
맛있는닭곰탕닭도리탕,음식,닭/오리요리,삼계탕전문,부산광역시,부산진구,초읍동,초읍동,대지,291,부산광역시 부산진구 초읍동 291-22,부산광역시 부산진구 새싹로,282,부산광역시 부산진구 새싹로 282,129.047345373307,35.1812894635486
다맛,음식,유흥주점,빠/카페/스탠드빠,부산광역시,사하구,하단2동,하단동,대지,492,부산광역시 사하구 하단동 492-20,부산광역시 사하구 낙동대로516번길,39,부산광역시 사하구 낙동대로516번길 39,128.965805150514,35.1126492556654
빨간사과,소매,의복의류,맞춤양장/양장점,부산광역시,부산진구,범천1동,범천동,대지,839,부산광역시 부산진구 범천동 839-212,부산광역시 부산진구 자유평화로,7,부산광역시 부산진구 자유평화로 7,129.060697872508,35.1417103418084
은아피아노학원,학문/교육,학원-음악미술무용,피아노/바이올린/기타,부산광역시,해운대구,좌3동,좌동,대지,1274,부산광역시 해운대구 좌동 1274,부산광역시 해운대구 대천로,56,부산광역시 해운대구 대천로 56,129.171304510782,35.1726005646526
더끌림,소매,의복의류,여성의류전문점,부산광역시,해운대구,반여2동,반여동,대지,1291,부산광역시 해운대구 반여동 1291-563,부산광역시 해운대구 재반로225번길,11,부산광역시 해운대구 재반로225번길 11,129.130339010919,35.1974171977057
수입구제빈티지샵,소매,의복의류,여성의류전문점,부산광역시,사하구,괴정3동,괴정동,대지,458,부산광역시 사하구 괴정동 458-2,부산광역시 사하구 오작로8번길,12,부산광역시 사하구 오작로8번길 12,128.995309490347,35.0969334568714
쿠아,소매,의복의류,일반의류,부산광역시,해운대구,좌1동,좌동,대지,1467,부산광역시 해운대구 좌동 1467-4,부산광역시 해운대구 해운대로,813,부산광역시 해운대구 해운대로 813,129.177093805183,35.1705974675265
왕성유통,소매,가방/신발/액세서리,신발소매,부산광역시,부산진구,연지동,연지동,대지,165,부산광역시 부산진구 연지동 165-8,부산광역시 부산진구 새싹로,154,부산광역시 부산진구 새싹로 154,129.050338820069,35.1698970066942
한국관,음식,한식,한식/백반/한정식,부산광역시,사상구,학장동,학장동,대지,155,부산광역시 사상구 학장동 155-4,부산광역시 사상구 학감대로39번안길,17,부산광역시 사상구 학감대로39번안길 17,128.996970897204,35.1324892276686
송정장,숙박,모텔/여관/여인숙,모텔/여관/여인숙,부산광역시,사상구,괘법동,괘법동,대지,821,부산광역시 사상구 괘법동 821-5,부산광역시 사상구 사상로,244,부산광역시 사상구 사상로 244,128.982700744012,35.1666877393572
우진식당,음식,한식,한식/백반/한정식,부산광역시,부산진구,전포1동,전포동,대지,379,부산광역시 부산진구 전포동 379-12,부산광역시 부산진구 황령대로74번길,27,부산광역시 부산진구 황령대로74번길 27,129.067612980733,35.1485633008363
영재세탁소,생활서비스,세탁/가사서비스,세탁소/빨래방,부산광역시,부산진구,당감1동,당감동,대지,899,부산광역시 부산진구 당감동 899,부산광역시 부산진구 백양관문로,105,부산광역시 부산진구 백양관문로 105-47,129.025569046752,35.1651605939452
킹콩부대찌개&밥볶다하단아트몰링점,음식,한식,부대찌개/섞어찌개,부산광역시,사하구,하단2동,하단동,대지,526,부산광역시 사하구 하단동 526-6,부산광역시 사하구 낙동남로,1413,부산광역시 사하구 낙동남로 1413,128.966347902641,35.1065874682724
한국외환은행,음식,기타음식업,구내식당/자급식음식점,부산광역시,사상구,괘법동,괘법동,대지,561,부산광역시 사상구 괘법동 561-12,부산광역시 사상구 새벽로,203,부산광역시 사상구 새벽로 203,128.983720979222,35.1593420736923
장원여관,숙박,모텔/여관/여인숙,모텔/여관/여인숙,부산광역시,사하구,감천1동,감천동,대지,90,부산광역시 사하구 감천동 90-10,부산광역시 사하구 원양로,384,부산광역시 사하구 원양로 384-2,129.006294777182,35.0849712502762
진주식당,음식,일식/수산물,갈치/생선구이,부산광역시,부산진구,범천1동,범천동,대지,845,부산광역시 부산진구 범천동 845-70,부산광역시 부산진구 중앙번영로20번길,42,부산광역시 부산진구 중앙번영로20번길 42,129.061097932208,35.1429417494993
SUNSETHOTEL,숙박,호텔/콘도,호텔/콘도,부산광역시,해운대구,중1동,중동,대지,1391,부산광역시 해운대구 중동 1391-66,부산광역시 해운대구 구남로,46,부산광역시 해운대구 구남로 46,129.16142305031,35.160139485969
참빛어린이집,학문/교육,학원기타,학원(종합),부산광역시,해운대구,우2동,우동,대지,1008,부산광역시 해운대구 우동 1008-5,부산광역시 해운대구 해운대로,428,부산광역시 해운대구 해운대로 428,129.139861636856,35.1668973294386
백두산,음식,유흥주점,로바다야끼,부산광역시,사상구,주례2동,주례동,대지,60,부산광역시 사상구 주례동 60-8,부산광역시 사상구 가야대로,370,부산광역시 사상구 가야대로 370,129.012945921569,35.1510157194355
잉크가이당감스피드점,소매,사무/문구/컴퓨터,사무/문구용품,부산광역시,부산진구,당감1동,당감동,대지,445,부산광역시 부산진구 당감동 445-1,부산광역시 부산진구 당감서로,38,부산광역시 부산진구 당감서로 38,129.037164706154,35.1637548522561
대성반점,음식,중식,중국음식/중국집,부산광역시,사상구,덕포2동,덕포동,대지,49,부산광역시 사상구 덕포동 49,부산광역시 사상구 덕상로,16,부산광역시 사상구 덕상로 16,128.989405048859,35.172807739263
모바일이네,생활서비스,광고/인쇄,인쇄종합,부산광역시,해운대구,우2동,우동,대지,1498,부산광역시 해운대구 우동 1498,부산광역시 해운대구 센텀동로,9,부산광역시 해운대구 센텀동로 9,129.132482667416,35.1698870198936
화성장식,소매,가정/주방/인테리어,지물판매,부산광역시,사상구,모라1동,모라동,대지,1361,부산광역시 사상구 모라동 1361,부산광역시 사상구 백양대로,879,부산광역시 사상구 백양대로 879,128.988716626255,35.1830442054479
꽃밭에서,소매,선물/팬시/기념품,꽃집/꽃배달,부산광역시,부산진구,부전1동,부전동,대지,573,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로,737,부산광역시 부산진구 중앙대로 737,129.061125071684,35.1602482564528
보이멘즈패션은행,소매,의복의류,남성의류전문점,부산광역시,사상구,엄궁동,엄궁동,대지,467,부산광역시 사상구 엄궁동 467-6,부산광역시 사상구 엄궁로203번길,38,부산광역시 사상구 엄궁로203번길 38,128.971956271821,35.1290237081197
해법수학,학문/교육,학원-보습교습입시,학원-입시,부산광역시,해운대구,좌2동,좌동,대지,1438,부산광역시 해운대구 좌동 1438,부산광역시 해운대구 좌동순환로,275,부산광역시 해운대구 좌동순환로 275,129.183257376145,35.1724753770713
사하열쇠,소매,가정/주방/인테리어,유리/페인트/철물건축자재,부산광역시,사하구,장림2동,장림동,대지,415,부산광역시 사하구 장림동 415-3,부산광역시 사하구 다대로,314,부산광역시 사하구 다대로 314,128.976352636234,35.0744621852664
MMM커피,음식,커피점/카페,커피전문점/카페/다방,부산광역시,부산진구,전포1동,전포동,대지,206,부산광역시 부산진구 전포동 206-28,부산광역시 부산진구 서전로58번길,5,부산광역시 부산진구 서전로58번길 5,129.06620455969,35.1575355411763
제이앤비당구클럽,관광/여가/오락,PC/오락/당구/볼링등,당구장,부산광역시,해운대구,좌1동,좌동,대지,1462,부산광역시 해운대구 좌동 1462-1,부산광역시 해운대구 양운로80번길,20,부산광역시 해운대구 양운로80번길 20,129.175460786095,35.1715417450152
나이스클랍,소매,의복의류,여성의류전문점,부산광역시,해운대구,좌1동,좌동,대지,1467,부산광역시 해운대구 좌동 1467-4,부산광역시 해운대구 해운대로,813,부산광역시 해운대구 해운대로 813,129.177093805183,35.1705974675265
세니니,소매,의복의류,일반의류,부산광역시,부산진구,양정2동,양정동,대지,79,부산광역시 부산진구 양정동 79-12,부산광역시 부산진구 양지로5번길,86,부산광역시 부산진구 양지로5번길 86,129.072396460985,35.1727053663546
별노래연습장,관광/여가/오락,무도/유흥/가무,노래방,부산광역시,사상구,엄궁동,엄궁동,대지,530,부산광역시 사상구 엄궁동 530-23,부산광역시 사상구 낙동대로776번길,10,부산광역시 사상구 낙동대로776번길 10,128.971766716937,35.1296922675671
GS25부암동평로점,소매,종합소매점,편의점,부산광역시,부산진구,부암1동,부암동,대지,304,부산광역시 부산진구 부암동 304-3,부산광역시 부산진구 동평로,193,부산광역시 부산진구 동평로 193,129.049511033834,35.167839994688
Heba,음식,양식,정통양식/경양식,부산광역시,해운대구,좌2동,좌동,대지,1480,부산광역시 해운대구 좌동 1480-4,부산광역시 해운대구 양운로42번길,16,부산광역시 해운대구 양운로42번길 16,129.177643168022,35.1683476960984
월드크리닝,생활서비스,세탁/가사서비스,세탁소/빨래방,부산광역시,부산진구,연지동,연지동,대지,165,부산광역시 부산진구 연지동 165-2,부산광역시 부산진구 새싹로,156,부산광역시 부산진구 새싹로 156-1,129.0503092525,35.1701586665543
간단하지만특별한화피디Cafe,음식,커피점/카페,커피전문점/카페/다방,부산광역시,부산진구,부전2동,부전동,대지,168,부산광역시 부산진구 부전동 168-173,부산광역시 부산진구 중앙대로702번길,25,부산광역시 부산진구 중앙대로702번길 25,129.06052600369,35.155530207511
엄궁농산물도매시장종합식품상가동사업협동조합,소매,음/식료품소매,청과물소매,부산광역시,사상구,엄궁동,엄궁동,대지,645,부산광역시 사상구 엄궁동 645-3,부산광역시 사상구 농산물시장로25번길,70,부산광역시 사상구 농산물시장로25번길 70,128.968397216554,35.1305305018639
돈스라이스,음식,양식,정통양식/경양식,부산광역시,부산진구,당감1동,당감동,대지,635,부산광역시 부산진구 당감동 635-3,부산광역시 부산진구 동평로39번길,71,부산광역시 부산진구 동평로39번길 71,129.030825144597,35.1667565197589
세일사,소매,종합소매점,종합소매,부산광역시,부산진구,범천1동,범천동,대지,836,부산광역시 부산진구 범천동 836-1,부산광역시 부산진구 범일로,134,부산광역시 부산진구 범일로 134,129.059801171532,35.1419525501244
제스티노,소매,의복의류,남성의류전문점,부산광역시,해운대구,우2동,우동,대지,1498,부산광역시 해운대구 우동 1498,부산광역시 해운대구 센텀동로,9,부산광역시 해운대구 센텀동로 9,129.132482667416,35.1698870198936
리바이스,소매,의복의류,캐쥬얼/스포츠의류,부산광역시,부산진구,부전1동,부전동,대지,573,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로,717,부산광역시 부산진구 중앙대로 717,129.05916145521,35.1552536985683
제일,음식,커피점/카페,커피전문점/카페/다방,부산광역시,부산진구,부전1동,부전동,대지,396,부산광역시 부산진구 부전동 396-1,부산광역시 부산진구 새싹로28번길,8,부산광역시 부산진구 새싹로28번길 8,129.057557758013,35.1602433936612
항도청과중도매인31번,소매,음/식료품소매,청과물소매,부산광역시,사상구,엄궁동,엄궁동,대지,648,부산광역시 사상구 엄궁동 648,부산광역시 사상구 농산물시장로,33,부산광역시 사상구 농산물시장로 33,128.96719239406,35.128854495365
부산변기뚫는곳씽크대하수구막힘,생활서비스,주택수리,수도설비,부산광역시,사상구,덕포1동,덕포동,대지,58,부산광역시 사상구 덕포동 58,부산광역시 사상구 백양대로700번길,23,부산광역시 사상구 백양대로700번길 23,128.989938044756,35.1696845513031
동아사진관,소매,사진/광학/정밀기기소매,카메라판매,부산광역시,사하구,하단2동,하단동,대지,494,부산광역시 사하구 하단동 494-3,부산광역시 사하구 낙동대로516번길,48,부산광역시 사하구 낙동대로516번길 48,128.966192251859,35.1129165932307
비원,음식,유흥주점,룸살롱/단란주점,부산광역시,해운대구,중1동,중동,대지,1139,부산광역시 해운대구 중동 1139-4,부산광역시 해운대구 달맞이길,22,부산광역시 해운대구 달맞이길 22,129.167287882057,35.1619309485549
네일속눈썹잘하는집,생활서비스,이/미용/건강,비만/피부관리,부산광역시,사하구,구평동,구평동,대지,41,부산광역시 사하구 구평동 41-7,부산광역시 사하구 사하로,47,부산광역시 사하구 사하로 47,128.993037205082,35.0868202609943
김은영영재수학교습소,학문/교육,학원-보습교습입시,학원-입시,부산광역시,사하구,당리동,당리동,대지,317,부산광역시 사하구 당리동 317-26,부산광역시 사하구 승학로,72,부산광역시 사하구 승학로 72,128.975712672724,35.1045113344775
연경중국어학원,학문/교육,학원-보습교습입시,학원-입시,부산광역시,해운대구,좌2동,좌동,대지,1479,부산광역시 해운대구 좌동 1479-1,부산광역시 해운대구 해운대로,802,부산광역시 해운대구 해운대로 802,129.176689134256,35.1691772216307
공군재경근무지원단,소매,종합소매점,종합소매,부산광역시,해운대구,우1동,우동,대지,650,부산광역시 해운대구 우동 650-1,부산광역시 해운대구 해운대해변로,233,부산광역시 해운대구 해운대해변로 233,129.156950163005,35.1589654189789
삼조기원,관광/여가/오락,PC/오락/당구/볼링등,기원,부산광역시,사상구,감전동,감전동,대지,109,부산광역시 사상구 감전동 109-8,부산광역시 사상구 사상로,146,부산광역시 사상구 사상로 146,128.987901379748,35.1592179181993
부대천하,음식,한식,한식/백반/한정식,부산광역시,부산진구,부전2동,부전동,대지,254,부산광역시 부산진구 부전동 254-14,부산광역시 부산진구 서면로68번길,47,부산광역시 부산진구 서면로68번길 47,129.058552618215,35.1548533928096
S,소매,의복의류,일반의류,부산광역시,해운대구,좌2동,좌동,대지,1479,부산광역시 해운대구 좌동 1479-1,부산광역시 해운대구 해운대로,802,부산광역시 해운대구 해운대로 802,129.176689134256,35.1691772216307
하영의류,소매,의복의류,일반의류,부산광역시,부산진구,당감1동,당감동,대지,887,부산광역시 부산진구 당감동 887-33,부산광역시 부산진구 백양대로60번길,73,부산광역시 부산진구 백양대로60번길 73-1,129.04169952124,35.1655908405447
트리니티어학원,학문/교육,학원-어학,학원-외국어/어학,부산광역시,부산진구,양정1동,양정동,대지,503,부산광역시 부산진구 양정동 503-13,부산광역시 부산진구 범양로126번길,4,부산광역시 부산진구 범양로126번길 4,129.065983258812,35.1742222247854
검웅합기도,학문/교육,학원기타,학원(종합),부산광역시,사하구,장림1동,장림동,대지,814,부산광역시 사하구 장림동 814,부산광역시 사하구 하신중앙로,18,부산광역시 사하구 하신중앙로 18,128.965063309382,35.0804207401826
치킨포차,음식,유흥주점,호프/맥주,부산광역시,부산진구,당감2동,당감동,대지,979,부산광역시 부산진구 당감동 979,부산광역시 부산진구 가야대로,709,부산광역시 부산진구 가야대로 709,129.04913610482,35.1574501865463
케이오디이앤씨,부동산,부동산중개,부동산중개,부산광역시,해운대구,좌1동,좌동,대지,1460,부산광역시 해운대구 좌동 1460-1,부산광역시 해운대구 양운로,92,부산광역시 해운대구 양운로 92,129.175039808154,35.1712754160651
본동장터돼지국밥,음식,한식,한식/백반/한정식,부산광역시,사하구,장림2동,장림동,대지,256,부산광역시 사하구 장림동 256-1,부산광역시 사하구 다대로271번길,2,부산광역시 사하구 다대로271번길 2,128.977745576021,35.0781737945338
지평자산운영대부,생활서비스,기타서비스업,사업경영상담,부산광역시,해운대구,재송1동,재송동,대지,1208,부산광역시 해운대구 재송동 1208-2,부산광역시 해운대구 센텀중앙로,97,부산광역시 해운대구 센텀중앙로 97,129.124597327857,35.1752065355079
401레스토랑,음식,유흥주점,호프/맥주,부산광역시,해운대구,우1동,우동,대지,1380,부산광역시 해운대구 우동 1380,부산광역시 해운대구 해운대해변로265번길,9,부산광역시 해운대구 해운대해변로265번길 9-10,129.160506183235,35.1604998111528
베스킨라빈스,음식,패스트푸드,아이스크림판매,부산광역시,사상구,괘법동,괘법동,대지,529,부산광역시 사상구 괘법동 529-1,부산광역시 사상구 광장로,7,부산광역시 사상구 광장로 7,128.977744017503,35.1643481538571
강헤어라인.,생활서비스,이/미용/건강,여성미용실,부산광역시,해운대구,우1동,우동,대지,977,부산광역시 해운대구 우동 977,부산광역시 해운대구 해운대해변로,115,부산광역시 해운대구 해운대해변로 115,129.145139740929,35.162070222316
해운대달맞이빵,음식,제과제빵떡케익,제과점,부산광역시,해운대구,송정동,송정동,대지,86,부산광역시 해운대구 송정동 86-2,부산광역시 해운대구 해운대로,1232,부산광역시 해운대구 해운대로 1232,129.205653918277,35.1949240543236
한양공인중개사합동사무소,부동산,부동산중개,부동산중개,부산광역시,부산진구,부전2동,부전동,대지,240,부산광역시 부산진구 부전동 240-13,부산광역시 부산진구 서면로,40,부산광역시 부산진구 서면로 40,129.058073026305,35.1542626627863
광일가구,소매,가구소매,일반가구소매,부산광역시,사하구,괴정3동,괴정동,대지,1021,부산광역시 사하구 괴정동 1021-7,부산광역시 사하구 낙동대로,208,부산광역시 사하구 낙동대로 208,128.994060281922,35.1006394741061
벽창호인테리어해운대지정점,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,부산광역시,해운대구,중1동,중동,대지,178,부산광역시 해운대구 중동 178-33,부산광역시 해운대구 좌동로53번길,32,부산광역시 해운대구 좌동로53번길 32,129.172878578424,35.1713684724297
샤틴에스블랑,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
비발디미용실,생활서비스,이/미용/건강,여성미용실,부산광역시,부산진구,전포1동,전포동,대지,363,부산광역시 부산진구 전포동 363-18,부산광역시 부산진구 전포대로162번길,17,부산광역시 부산진구 전포대로162번길 17,129.066624688136,35.1510418206393
현성씨링인쇄사,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,523,부산광역시 부산진구 부전동 523-5,부산광역시 부산진구 부전로,24,부산광역시 부산진구 부전로 24,129.056734106284,35.1525707151334
헤나머리방,생활서비스,이/미용/건강,여성미용실,부산광역시,부산진구,양정2동,양정동,대지,337,부산광역시 부산진구 양정동 337-2,부산광역시 부산진구 중앙대로928번길,13,부산광역시 부산진구 중앙대로928번길 13,129.071919619566,35.1723400175772
BLUESEAGULL,음식,부페,종합부페,부산광역시,해운대구,우3동,우동,대지,1410,부산광역시 해운대구 우동 1410-3,부산광역시 해운대구 마린시티3로,52,부산광역시 해운대구 마린시티3로 52,129.144966413243,35.1544010882401
동성,생활서비스,세탁/가사서비스,세탁소/빨래방,부산광역시,사상구,괘법동,괘법동,대지,541,부산광역시 사상구 괘법동 541-6,부산광역시 사상구 광장로103번길,15,부산광역시 사상구 광장로103번길 15-4,128.987296789818,35.1636847695679
테마모텔,숙박,모텔/여관/여인숙,모텔/여관/여인숙,부산광역시,해운대구,좌2동,좌동,대지,1439,부산광역시 해운대구 좌동 1439,부산광역시 해운대구 좌동순환로299번길,11,부산광역시 해운대구 좌동순환로299번길 11,129.183419945801,35.1700580976864
베이직하우스아울렛,소매,의복의류,일반의류,부산광역시,사상구,모라1동,모라동,대지,274,부산광역시 사상구 모라동 274-2,부산광역시 사상구 사상로,559,부산광역시 사상구 사상로 559,128.98992737639,35.1941575223601
JBINY,소매,가방/신발/액세서리,구두제화/캐주얼화,부산광역시,사하구,괴정3동,괴정동,대지,1011,부산광역시 사하구 괴정동 1011-41,부산광역시 사하구 사하로186번다길,13,부산광역시 사하구 사하로186번다길 13,128.994640027227,35.0996071155922
비오비,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
차소민뷰티샵,생활서비스,이/미용/건강,비만/피부관리,부산광역시,부산진구,부전2동,부전동,대지,505,부산광역시 부산진구 부전동 505-6,부산광역시 부산진구 가야대로,754,부산광역시 부산진구 가야대로 754,129.053884370005,35.1571205300543
제주와홍돼지,음식,한식,한식/백반/한정식,부산광역시,부산진구,가야2동,가야동,대지,639,부산광역시 부산진구 가야동 639-3,부산광역시 부산진구 냉정로,247,부산광역시 부산진구 냉정로 247,129.026764882083,35.1511337667172
빨간펜수학의달인좌동엘지수학교습소,학문/교육,학원-보습교습입시,학원-입시,부산광역시,해운대구,좌4동,좌동,대지,1398,부산광역시 해운대구 좌동 1398,부산광역시 해운대구 대천로103번길,61,부산광역시 해운대구 대천로103번길 61,129.173890750055,35.1806879264108
대우엄궁바로코너,생활서비스,자동차/이륜차,자동차정비/카센타,부산광역시,사상구,엄궁동,엄궁동,대지,687,부산광역시 사상구 엄궁동 687-2,부산광역시 사상구 엄궁로,11,부산광역시 사상구 엄궁로 11,128.96748335517,35.1246966940407
도도바,음식,유흥주점,빠/카페/스탠드빠,부산광역시,해운대구,우1동,우동,대지,654,부산광역시 해운대구 우동 654-6,부산광역시 해운대구 해운대해변로209번가길,3,부산광역시 해운대구 해운대해변로209번가길 3,129.154264087992,35.1599555196929
타임,음식,한식,한식/백반/한정식,부산광역시,부산진구,부전1동,부전동,대지,475,부산광역시 부산진구 부전동 475-5,부산광역시 부산진구 서면문화로,11,부산광역시 부산진구 서면문화로 11-2,129.057196894265,35.158651079039
와이디코리아씨앤씨,소매,사무/문구/컴퓨터,컴퓨터/주변기기,부산광역시,사상구,감전동,감전동,대지,149,부산광역시 사상구 감전동 149-12,부산광역시 사상구 가야대로11번길,32,부산광역시 사상구 가야대로11번길 32,128.974981956998,35.1536527677904
덕성식당,음식,한식,한식/백반/한정식,부산광역시,부산진구,초읍동,초읍동,대지,206,부산광역시 부산진구 초읍동 206-18,부산광역시 부산진구 성지로83번길,18,부산광역시 부산진구 성지로83번길 18,129.052687929128,35.1775564629849
47FACTORY,소매,사무/문구/컴퓨터,사무/문구용품,부산광역시,사상구,주례2동,주례동,산,69,부산광역시 사상구 주례동 산69-1,부산광역시 사상구 주례로,47,부산광역시 사상구 주례로 47,129.007047094329,35.1461342401425
데상트코리아롯데백화점부산점,소매,종합소매점,할인점,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
노니,소매,가방/신발/액세서리,신발소매,부산광역시,부산진구,부전2동,부전동,대지,573,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 부전로,187,부산광역시 부산진구 부전로 187,129.061215681513,35.1638440145745
미지섬유,소매,의복의류,섬유/직물/주단,부산광역시,사하구,장림1동,장림동,대지,975,부산광역시 사하구 장림동 975-29,부산광역시 사하구 하신중앙로3번다길,10,부산광역시 사하구 하신중앙로3번다길 10-4,128.960974933971,35.0777669952178
핑크토탈속옷,소매,의복의류,여성내의전문점,부산광역시,사하구,다대2동,다대동,대지,120,부산광역시 사하구 다대동 120-1,부산광역시 사하구 다대로,473,부산광역시 사하구 다대로 473,128.979344597742,35.0614937727145
